date,Fog_L_jour,Hydropanel_L_jour,AgriPV_L_jour,Condensation_L_jour
2024-07-01,50.0,7.199074074074074,10.366666666666665,2.0
2024-07-02,50.0,7.175925925925926,10.333333333333334,2.0
2024-07-03,50.0,6.9907407407407405,10.066666666666666,2.0
2024-07-04,50.0,6.9074074074074066,9.946666666666665,2.0
2024-07-05,50.0,6.817129629629629,9.816666666666666,2.0
2024-07-06,50.0,7.150462962962964,10.296666666666667,2.0
2024-07-07,50.0,7.032407407407407,10.126666666666667,2.0
2024-07-08,50.0,6.993055555555556,10.07,2.0
2024-07-09,50.0,6.9375,9.99,2.0
2024-07-10,50.0,6.780092592592593,9.763333333333334,2.0
2024-07-11,50.0,6.243055555555555,8.989999999999998,2.0
2024-07-12,50.0,6.571759259259259,9.463333333333333,2.0
2024-07-13,50.0,6.650462962962963,9.576666666666666,2.0
2024-07-14,50.0,6.893518518518519,9.926666666666668,2.0
2024-07-15,50.0,7.002314814814814,10.083333333333332,2.0
2024-07-16,50.0,6.775462962962963,9.756666666666666,2.0
2024-07-17,50.0,5.863425925925926,8.443333333333332,2.0
2024-07-18,50.0,5.386574074074074,7.756666666666667,2.0
2024-07-19,50.0,4.62037037037037,6.653333333333332,2.0
2024-07-20,50.0,6.384259259259259,9.193333333333332,2.0
2024-07-21,50.0,6.780092592592593,9.763333333333334,2.0
2024-07-22,50.0,6.541666666666667,9.42,2.0
2024-07-23,50.0,6.229166666666667,8.97,2.0
2024-07-24,50.0,6.173611111111112,8.889999999999999,2.0
2024-07-25,50.0,6.048611111111111,8.709999999999999,2.0
2024-07-26,50.0,6.831018518518519,9.836666666666668,2.0
2024-07-27,50.0,6.581018518518519,9.476666666666667,2.0
2024-07-28,50.0,6.090277777777777,8.77,2.0
2024-07-29,50.0,6.342592592592592,9.133333333333333,2.0
2024-07-30,50.0,6.344907407407407,9.136666666666665,2.0
2024-07-31,50.0,5.912037037037036,8.513333333333334,2.0
2024-08-01,50.0,6.060185185185185,8.726666666666667,2.0
2024-08-02,50.0,6.407407407407407,9.226666666666665,2.0
2024-08-03,50.0,6.571759259259259,9.463333333333333,2.0
2024-08-04,50.0,6.569444444444445,9.459999999999999,2.0
2024-08-05,50.0,6.451388888888889,9.290000000000001,2.0
2024-08-06,50.0,6.546296296296297,9.426666666666668,2.0
2024-08-07,50.0,6.425925925925926,9.253333333333334,2.0
2024-08-08,50.0,6.344907407407407,9.136666666666665,2.0
2024-08-09,50.0,6.224537037037036,8.963333333333333,2.0
2024-08-10,50.0,6.229166666666667,8.97,2.0
2024-08-11,50.0,5.560185185185185,8.006666666666666,2.0
2024-08-12,50.0,5.62962962962963,8.106666666666667,2.0
2024-08-13,50.0,6.268518518518517,9.026666666666666,2.0
2024-08-14,50.0,6.550925925925926,9.433333333333334,2.0
2024-08-15,50.0,6.4282407407407405,9.256666666666666,2.0
2024-08-16,50.0,6.402777777777779,9.22,2.0
2024-08-17,50.0,6.231481481481481,8.973333333333333,2.0
2024-08-18,50.0,6.104166666666667,8.79,2.0
2024-08-19,50.0,5.576388888888889,8.03,2.0
2024-08-20,50.0,4.430555555555555,6.379999999999999,2.0
2024-08-21,50.0,5.784722222222221,8.329999999999998,2.0
2024-08-22,50.0,6.141203703703704,8.843333333333332,2.0
2024-08-23,50.0,6.039351851851852,8.696666666666665,2.0
2024-08-24,50.0,5.576388888888889,8.03,2.0
2024-08-25,50.0,5.729166666666666,8.25,2.0
2024-08-26,50.0,6.025462962962963,8.676666666666668,2.0
2024-08-27,50.0,6.074074074074073,8.746666666666666,2.0
