-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 07/01/2024 through 07/01/2025 in LST
Location: latitude  32.2319   longitude -7.9351 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 442.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_SW_DWN,WS2M,T2M_MAX,RH2M,T2M_MIN,PRECTOTCORR
2024,277,20.34,3.17,33.87,50.94,18.47,0.01
2024,278,20.11,3.51,32.62,59.55,18.32,0.01
2024,279,20.23,3.49,33.16,57.15,19.1,0.02
2024,280,19.73,2.73,35.35,54.08,18.86,0.03
2024,281,10.9,2.91,29.93,64.67,17.95,0.21
2024,282,19.33,1.65,26.55,68.03,16.55,0.72
2024,283,20.23,2.23,29.15,65.61,15.04,0.11
2024,284,17.01,1.98,30.39,54.15,16.81,0.09
2024,285,19.66,2.42,32.03,55.64,17.59,0.01
2024,286,10.36,3.21,29.67,73.58,18.0,10.95
2024,287,17.67,2.33,25.51,70.11,16.32,4.17
2024,288,16.39,1.45,25.19,66.79,15.18,1.48
2024,289,12.86,3.2,28.65,66.36,16.7,3.04
2024,290,14.7,2.35,26.89,73.73,17.48,7.27
2024,291,17.73,2.64,25.56,69.12,14.55,0.57
2024,292,19.67,3.51,27.56,58.55,11.84,0.0
2024,293,18.85,2.53,25.64,59.75,11.96,0.0
2024,294,18.28,1.88,29.08,56.36,14.97,0.0
2024,295,17.87,2.06,28.79,68.53,14.59,0.0
2024,296,17.26,1.47,30.64,57.82,16.15,0.0
2024,297,12.6,1.66,26.81,54.78,19.57,0.89
2024,298,15.55,2.15,30.71,54.67,17.72,0.62
2024,299,14.09,2.57,25.55,66.92,15.9,0.15
2024,300,15.83,4.14,22.55,62.47,10.61,0.23
2024,301,12.57,2.32,21.75,66.89,9.97,0.28
2024,302,10.32,1.88,18.07,74.84,10.25,1.31
2024,303,9.74,4.15,19.64,76.95,9.85,2.29
2024,304,8.78,3.57,22.81,75.36,12.11,0.72
2024,305,16.47,1.37,24.02,71.21,12.17,0.08
2024,306,15.9,1.25,24.53,68.97,13.61,0.06
2024,307,16.01,1.53,24.29,68.16,13.04,0.0
2024,308,15.88,1.37,27.83,52.31,14.2,0.0
2024,309,14.49,1.58,28.27,48.06,13.42,0.0
2024,310,15.93,1.41,31.47,41.72,16.51,0.0
2024,311,16.1,1.5,33.67,34.17,17.3,0.0
2024,312,11.4,2.25,32.85,37.92,18.42,0.0
2024,313,7.9,2.35,32.51,42.04,19.6,0.0
2024,314,7.22,1.41,26.24,49.29,19.29,0.0
2024,315,15.35,2.29,28.68,49.34,14.31,0.0
2024,316,15.33,2.48,25.46,61.48,12.81,0.01
2024,317,14.36,1.63,23.94,65.74,12.43,0.08
2024,318,11.87,2.47,21.73,74.97,12.17,0.85
2024,319,13.79,2.45,22.91,68.9,12.19,0.08
2024,320,10.75,2.07,25.43,47.46,12.42,0.03
2024,321,13.71,2.4,28.92,50.46,13.71,0.02
2024,322,12.8,2.16,25.74,52.87,13.62,0.06
2024,323,11.5,2.33,26.86,58.19,15.86,0.68
2024,324,5.82,2.63,24.43,65.31,15.59,4.21
2024,325,14.25,1.67,27.76,57.11,15.09,0.05
2024,326,14.1,1.31,28.35,46.98,15.72,0.0
2024,327,13.85,1.87,28.13,43.35,15.12,0.0
2024,328,13.83,2.07,31.59,36.95,15.16,0.0
2024,329,8.67,3.9,30.75,30.49,19.26,0.01
2024,330,11.49,2.79,29.1,38.95,16.18,0.0
2024,331,9.34,2.73,29.12,34.51,16.16,0.0
2024,332,12.97,2.27,30.17,32.67,15.98,0.0
2024,333,12.88,1.67,30.53,33.35,15.38,0.0
2024,334,11.57,1.23,29.22,35.0,16.82,0.0
2024,335,12.79,1.9,29.13,36.57,16.27,0.0
2024,336,10.35,2.31,26.85,32.07,14.07,0.0
2024,337,11.69,1.37,27.0,36.58,13.92,0.0
2024,338,12.62,1.65,26.49,44.03,13.0,0.0
2024,339,13.32,2.4,24.32,58.57,11.4,0.0
2024,340,11.54,1.89,24.09,47.76,10.4,0.0
2024,341,13.56,1.19,26.17,34.05,10.53,0.0
2024,342,10.28,1.73,24.87,41.99,12.47,0.05
2024,343,12.15,1.92,24.08,62.92,11.16,0.06
2024,344,11.91,2.87,19.2,74.02,7.52,0.05
2024,345,13.6,1.94,16.4,63.11,4.93,0.0
2024,346,9.44,1.87,16.73,65.43,3.73,0.09
2024,347,11.15,2.1,17.7,73.74,6.73,0.03
2024,348,13.17,1.18,19.29,62.56,7.81,0.0
2024,349,10.63,1.45,23.42,35.0,8.13,0.0
2024,350,9.38,1.56,23.15,25.62,12.28,0.0
2024,351,12.17,1.99,23.97,27.19,12.06,0.0
2024,352,10.37,1.99,26.69,32.08,12.51,0.0
2024,353,12.1,1.38,25.12,42.31,11.82,0.07
2024,354,11.56,1.3,23.42,58.04,10.56,0.09
2024,355,10.72,2.29,21.96,69.87,8.93,0.66
2024,356,9.25,2.55,14.77,83.46,8.86,6.14
2024,357,9.4,1.7,18.92,58.01,7.08,0.01
2024,358,12.68,1.37,21.51,52.28,8.9,0.0
2024,359,12.85,1.45,23.06,44.18,8.61,0.0
2024,360,11.73,1.63,24.23,39.1,10.37,0.0
2024,361,11.99,2.18,23.27,41.79,9.09,0.01
2024,362,9.33,1.64,22.5,43.07,9.81,0.05
2024,363,8.98,1.15,19.18,55.82,11.25,0.91
2024,364,10.36,1.36,16.82,71.36,9.8,0.31
2024,365,10.18,1.34,17.72,60.56,9.24,0.1
2024,366,12.26,1.02,18.21,62.54,6.83,0.15
2025,1,13.06,1.58,18.08,56.75,6.5,1.19
2025,2,13.05,1.49,20.08,41.74,4.74,0.0
2025,3,12.6,1.42,20.57,34.31,5.06,0.0
2025,4,10.72,1.31,19.57,45.52,8.1,0.0
2025,5,12.5,2.1,20.42,43.99,7.7,0.0
2025,6,7.71,3.09,19.31,66.19,9.21,1.4
2025,7,13.7,1.83,20.83,54.37,6.72,0.08
2025,8,11.68,1.91,22.03,52.37,8.59,0.0
2025,9,13.32,1.3,23.39,49.22,9.96,0.0
2025,10,13.64,1.74,24.57,50.1,10.52,0.05
2025,11,12.83,1.85,24.51,53.69,10.03,0.0
2025,12,13.15,2.09,23.54,61.91,10.76,0.0
2025,13,14.53,2.99,22.15,56.23,8.57,0.0
2025,14,14.68,1.42,20.89,36.06,5.66,0.0
2025,15,14.19,2.03,19.21,31.2,4.14,0.0
2025,16,14.24,1.5,18.76,47.87,3.97,0.0
2025,17,8.71,1.26,16.44,68.38,5.98,0.09
2025,18,13.43,1.34,18.34,59.69,7.65,0.14
2025,19,14.27,1.68,19.49,46.72,5.95,0.0
2025,20,11.66,2.06,24.85,40.71,7.3,0.0
2025,21,13.94,3.11,27.08,25.91,9.05,0.0
2025,22,13.05,3.3,25.33,38.08,10.56,0.0
2025,23,14.64,1.16,22.96,46.31,9.76,0.0
2025,24,14.76,1.39,24.76,41.96,8.21,0.0
2025,25,12.54,1.36,22.89,59.35,8.33,0.0
2025,26,12.33,1.57,24.3,58.22,9.13,0.03
2025,27,13.55,2.42,26.01,52.45,10.0,0.23
2025,28,11.5,2.16,21.47,67.34,8.34,1.17
2025,29,14.72,2.19,23.79,54.82,7.78,0.81
2025,30,11.55,3.05,15.16,76.6,7.0,6.2
2025,31,12.22,1.99,16.26,63.27,5.2,0.01
2025,32,15.3,1.51,18.73,56.18,4.33,0.0
2025,33,11.01,1.49,15.6,70.73,4.93,0.19
2025,34,11.36,1.54,19.66,70.06,6.23,0.01
2025,35,16.73,2.25,18.0,65.15,5.7,0.0
2025,36,16.92,1.39,21.09,47.52,5.53,0.0
2025,37,16.78,1.64,22.77,40.06,6.9,0.0
2025,38,17.15,1.62,21.8,47.31,5.23,0.0
2025,39,17.39,1.63,21.86,47.7,7.28,0.0
2025,40,17.32,1.4,23.88,39.03,7.84,0.0
2025,41,17.13,1.92,24.11,33.54,7.98,0.0
2025,42,16.82,2.24,23.83,32.96,7.68,0.0
2025,43,16.87,1.64,23.09,40.36,9.12,0.01
2025,44,17.99,1.34,24.61,38.36,8.77,0.0
2025,45,17.76,1.71,26.25,31.51,8.15,0.0
2025,46,11.71,2.89,24.61,32.75,10.18,0.82
2025,47,8.2,2.39,17.83,75.98,8.09,6.64
2025,48,16.13,1.08,22.13,56.05,7.94,0.01
2025,49,10.11,3.37,22.89,61.21,8.71,6.04
2025,50,11.65,1.71,19.11,80.76,9.25,4.85
2025,51,17.83,1.73,23.6,61.65,9.08,0.01
2025,52,16.56,2.65,25.13,54.03,10.47,0.0
2025,53,14.9,2.33,23.22,61.86,10.75,0.02
2025,54,18.43,2.81,21.58,65.43,8.93,0.04
2025,55,18.77,1.53,24.98,46.96,7.89,0.0
2025,56,17.99,1.49,24.04,48.73,8.75,0.02
2025,57,19.42,1.41,24.51,57.76,9.56,0.06
2025,58,13.78,1.62,23.57,61.57,10.3,0.07
2025,59,12.86,3.57,16.64,78.88,8.67,12.13
2025,60,18.71,1.68,18.83,70.02,8.04,1.38
2025,61,19.67,1.49,21.03,59.88,7.79,0.01
2025,62,17.13,2.21,23.18,59.32,7.54,9.53
2025,63,18.82,1.62,21.54,73.21,9.71,7.24
2025,64,16.61,1.77,19.31,71.36,9.79,4.48
2025,65,13.77,2.23,17.76,72.48,7.85,2.9
2025,66,17.88,3.08,21.23,68.89,7.86,0.02
2025,67,8.69,5.18,17.92,74.63,10.3,7.53
2025,68,16.02,5.21,18.24,74.96,9.02,2.63
2025,69,14.66,4.82,19.2,79.64,11.97,4.48
2025,70,13.53,3.52,19.54,81.2,11.24,4.5
2025,71,13.07,3.75,22.44,74.48,11.42,1.62
2025,72,17.59,5.84,20.43,70.02,11.86,4.0
2025,73,14.09,5.08,14.74,82.38,9.86,11.28
2025,74,17.72,1.61,19.42,68.06,8.1,1.18
2025,75,22.12,1.63,21.78,61.04,6.7,0.0
2025,76,19.46,5.37,21.97,65.7,9.12,0.53
2025,77,21.9,1.94,21.72,70.33,10.26,0.43
2025,78,21.66,1.75,26.88,53.72,9.48,0.0
2025,79,22.48,4.2,26.8,55.69,11.44,0.3
2025,80,23.97,2.01,21.97,67.79,9.93,0.56
2025,81,13.94,2.18,19.27,69.84,6.55,0.56
2025,82,18.2,2.03,18.01,73.64,5.37,0.4
2025,83,19.23,2.56,18.9,70.27,7.03,0.09
2025,84,25.26,2.72,20.76,66.8,6.49,0.02
2025,85,25.55,2.68,23.45,56.58,7.04,0.02
2025,86,23.61,1.95,26.93,47.71,9.05,0.0
2025,87,25.0,2.34,29.87,38.62,11.42,0.0
2025,88,25.72,1.92,31.13,35.93,14.44,0.0
2025,89,25.66,1.47,32.97,36.92,15.0,0.0
2025,90,22.6,2.33,27.98,60.0,12.67,0.0
2025,91,18.04,2.55,23.37,68.01,11.01,0.09
2025,92,20.32,3.45,22.59,70.73,10.85,0.3
2025,93,24.29,3.64,28.52,57.63,9.97,0.02
2025,94,22.52,3.22,24.31,64.69,12.17,0.04
2025,95,19.84,1.61,24.61,65.08,11.14,0.05
2025,96,24.52,1.72,25.84,62.17,9.9,0.0
2025,97,24.77,1.97,29.36,56.22,11.78,0.0
2025,98,24.6,2.49,35.56,42.67,14.09,0.0
2025,99,8.93,1.86,30.98,43.91,17.09,0.51
2025,100,17.14,1.22,26.55,58.27,16.12,0.01
2025,101,20.41,2.42,30.16,62.69,14.39,1.28
2025,102,14.32,2.2,25.76,71.04,13.79,10.84
2025,103,15.39,2.23,21.85,73.58,12.68,5.87
2025,104,20.25,2.15,24.44,70.2,12.96,0.67
2025,105,16.83,2.89,22.25,70.71,9.73,1.58
2025,106,25.76,3.1,22.69,60.6,9.72,0.04
2025,107,24.09,2.04,28.2,51.75,8.34,0.0
2025,108,23.89,2.78,30.44,45.88,13.99,0.0
2025,109,13.23,2.95,23.23,68.43,11.11,0.01
2025,110,25.56,3.36,22.19,58.85,9.63,0.02
2025,111,27.11,3.31,26.18,59.45,8.25,0.0
2025,112,27.28,3.03,27.21,60.05,10.04,0.01
2025,113,22.8,2.65,32.6,51.42,11.76,0.01
2025,114,21.09,2.82,32.98,44.58,15.95,0.03
2025,115,23.87,1.73,28.54,60.36,13.35,0.1
2025,116,27.54,2.53,29.85,60.21,13.91,0.0
2025,117,27.77,2.36,34.49,49.4,14.12,0.0
2025,118,27.99,2.37,32.05,47.48,14.79,0.0
2025,119,27.47,2.8,26.52,60.99,12.32,0.0
2025,120,18.01,2.98,24.04,60.5,11.25,0.0
2025,121,27.41,2.95,29.36,55.13,9.33,0.01
2025,122,25.71,3.24,26.33,55.65,11.49,0.0
2025,123,25.24,2.45,25.48,62.88,12.64,0.02
2025,124,25.51,2.02,26.77,60.4,12.99,0.07
2025,125,27.89,2.34,26.4,57.37,12.84,0.05
2025,126,22.13,2.31,27.64,58.97,11.69,0.03
2025,127,28.05,2.24,29.36,58.58,12.3,0.04
2025,128,15.64,2.73,25.62,63.3,13.13,0.14
2025,129,23.57,1.91,26.45,57.75,13.02,0.03
2025,130,27.82,2.12,27.04,56.28,12.72,0.0
2025,131,17.33,2.34,26.06,58.57,12.46,0.44
2025,132,26.58,2.62,28.27,57.53,13.28,0.08
2025,133,16.55,3.15,23.2,62.33,11.85,2.45
2025,134,15.36,2.8,24.92,58.57,11.26,0.76
2025,135,28.68,3.29,27.52,53.08,10.61,0.03
2025,136,28.86,2.38,31.87,43.86,11.15,0.0
2025,137,28.6,2.75,35.11,43.93,15.79,0.0
2025,138,28.38,3.27,28.34,61.38,13.87,0.0
2025,139,28.53,4.01,28.95,57.87,13.55,0.0
2025,140,28.75,3.56,30.81,51.89,13.34,0.0
2025,141,27.66,2.88,30.0,54.68,14.46,0.0
2025,142,28.27,2.62,31.44,57.31,15.46,0.01
2025,143,28.55,2.44,30.61,53.8,15.58,0.0
2025,144,29.03,2.8,33.17,49.25,13.88,0.0
2025,145,28.45,2.42,37.09,33.68,17.94,0.0
2025,146,26.44,2.81,39.81,34.86,20.19,0.46
2025,147,28.57,2.47,36.98,40.18,21.42,0.35
2025,148,24.13,3.06,38.42,31.92,20.93,0.04
2025,149,16.9,2.16,41.05,25.54,24.32,0.05
2025,150,23.8,2.56,39.89,30.83,22.04,0.0
2025,151,28.9,2.51,38.49,36.97,20.78,0.0
2025,152,29.17,2.46,36.57,40.91,18.33,0.0
2025,153,29.42,2.74,31.95,48.17,15.93,0.0
2025,154,28.84,3.18,28.85,55.15,16.37,0.19
2025,155,28.75,3.52,29.24,50.51,14.03,0.0
2025,156,28.85,3.31,32.6,52.33,15.28,0.0
2025,157,28.21,3.01,34.87,48.51,17.68,0.01
2025,158,28.46,2.88,40.41,41.12,20.16,0.37
2025,159,28.87,2.67,37.52,44.05,20.66,0.08
2025,160,23.42,2.76,35.85,47.3,20.48,0.57
2025,161,22.01,3.29,31.01,56.7,17.68,0.44
2025,162,28.93,3.32,32.03,53.27,16.24,0.0
2025,163,28.99,3.25,32.4,51.82,16.89,0.0
2025,164,28.15,3.59,31.64,52.43,17.35,0.0
2025,165,28.24,3.89,32.99,57.17,17.94,0.36
2025,166,24.61,3.15,36.97,52.34,17.35,2.94
2025,167,25.13,2.5,39.8,46.96,20.36,2.9
2025,168,28.23,2.08,37.48,42.67,23.52,3.27
2025,169,18.41,2.64,38.45,30.76,27.06,1.96
2025,170,28.62,2.39,38.07,37.11,25.66,2.57
2025,171,28.67,2.53,37.88,48.43,22.66,1.31
2025,172,28.31,3.25,35.52,51.29,20.88,1.62
2025,173,28.57,3.33,33.97,53.24,19.57,0.85
2025,174,28.39,3.33,32.11,52.24,17.31,0.34
2025,175,28.76,3.48,32.63,54.73,17.15,0.0
2025,176,28.53,3.39,35.52,48.11,17.86,0.49
2025,177,28.45,2.22,41.01,37.13,19.75,0.82
2025,178,24.9,3.35,44.01,20.41,29.21,1.63
2025,179,28.21,2.98,45.86,18.18,30.81,0.44
2025,180,27.28,2.23,46.09,16.59,29.76,0.0
2025,181,28.85,2.43,45.44,22.35,26.9,0.83
2025,182,28.25,2.56,42.41,33.2,27.01,2.0
